Log file open, 04/08/15 00:11:28
LogInit:Display: Running engine for game: Mayhem3d
LogInit: Version: 4.7.2-2467323+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Mar  2 2015 23:16:34
[2015.04.07-12.11.32:505][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  Pak pak cache file ../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/DerivedDataCache/DDC.ddp not found, will not use a pak cache.
[2015.04.07-12.11.32:505][  0]LogDerivedDataCache: Unable to find inner node Pak for hierarchical cache Hierarchy.
[2015.04.07-12.11.32:630][  0]LogDerivedDataCache:Display: Pak cache opened for reading ../../../Engine/DerivedDataCache/Compressed.ddp.
[2015.04.07-12.11.32:643][  0]LogDerivedDataCache: Using Local data cache path C:/Users/Mike/AppData/Local/UnrealEngine/Common/DerivedDataCache: Writable
[2015.04.07-12.11.32:895][  0]LogMeshUtilities: No automatic mesh reduction module available
[2015.04.07-12.11.32:895][  0]LogMeshUtilities: No automatic mesh merging module available
[2015.04.07-12.11.33:298][  0]LogInit: WinSock: version 1.1 (2.2), MaxSocks=32767, MaxUdp=65467
[2015.04.07-12.11.33:376][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Slate/Fonts/Roboto-Italic.ttf'
[2015.04.07-12.11.34:183][  0]UdpMessaging: Initializing bridge on interface 0.0.0.0:0 to multicast group 230.0.0.1:6666.
[2015.04.07-12.11.34:374][  0]SourceControl: Info Source control is disabled
[2015.04.07-12.11.34:374][  0]SourceControl: Info Source control is disabled
[2015.04.07-12.11.34:374][  0]SourceControl: Info Source control is disabled
[2015.04.07-12.11.34:374][  0]LogSourceControl: RunCommandInternalRaw: 'git version'
[2015.04.07-12.11.34:374][  0]LogSourceControl: RunCommandInternalRaw: ExecProcess ReturnCode=2 OutResults=''
[2015.04.07-12.11.34:383][  0]SourceControl: Info Source control is disabled
[2015.04.07-12.11.34:570][  0]LogObj: 24231 objects as part of root set at end of initial load.
[2015.04.07-12.11.34:570][  0]LogUObjectAllocator: 5136440 out of 0 bytes used by permanent object pool.
[2015.04.07-12.11.34:651][  0]LogEngine: Initializing Engine...
[2015.04.07-12.11.36:916][  0]LogInit: XAudio2 using 'SAMSUNG (Intel(R) Display Audio)' : 2 channels at 48 kHz using 16 bits per sample (channel mask 0x3)
[2015.04.07-12.11.37:030][  0]LogInit: FAudioDevice initialized.
[2015.04.07-12.11.37:065][  0]LogAIModule: Creating AISystem for world NewWorld
[2015.04.07-12.11.37:086][  0]LogDerivedDataCache: Saved boot cache 0.02s 39MB C:/Users/Mike/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.04.07-12.11.37:090][  0]LogInit: Texture streaming: Enabled
[2015.04.07-12.11.37:174][  0]LogAnalytics: Creating configured Analytics provider AnalyticsET
[2015.04.07-12.11.37:174][  0]LogAnalytics: ET APIKey = Rocket.Release. APIServer = http://et2.epicgames.com/ET2/. AppVersion = 4.7.2-2467323+++depot+UE4-Releases+4.7
[2015.04.07-12.11.37:174][  0]LogAnalytics: ET APIKey = Rocket.Release. DataRouterUploadURL = https://datarouter-public-service-gamedev.ol.epicgames.net/datarouter/api/v1/public/data. AppVersion = 4.7.2-2467323+++depot+UE4-Releases+4.7
[2015.04.07-12.11.37:174][  0]LogAnalytics: SetUserId 7973641242ab8daaa1a16697fdb176f2|ccb0c50c0d0e47deab22ca04ebced0f2|16dc805b-9417-485d-b6cb-59eb3a26e502
[2015.04.07-12.11.37:174][  0]LogAnalytics: AnalyticsET::StartSession [Rocket.Release]
[2015.04.07-12.11.37:199][  0]LogInit: Transaction tracking system initialized
[2015.04.07-12.11.37:356][  0]BlueprintLog: New page: Editor Load
[2015.04.07-12.11.37:393][  0]LogAssetRegistry: FAssetRegistry took 0.0111 seconds to start up
[2015.04.07-12.11.37:393][  0]LogDirectoryWatcher:Warning: Failed to begin reading directory changes for ../../../Engine/Plugins/Experimental/CharacterAI/Content/. Error: 0
[2015.04.07-12.11.37:987][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.04.07-12.11.38:434][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.04.07-12.11.38:694][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Regular.ttf'
[2015.04.07-12.11.38:694][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Bold.ttf'
[2015.04.07-12.11.38:699][  0]LogConsoleResponse:Display: 
[2015.04.07-12.11.38:843][  0]LogCook:Display: Done creating registry. It took  0.00s.
[2015.04.07-12.11.39:014][  0]SourceControl: Info Source control is disabled
[2015.04.07-12.11.39:014][  0]Cmd: MAP LOAD FILE="../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/Maps/MiniTDmatch_2.umap" TEMPLATE=0 SHOWPROGRESS=1 FEATURELEVEL=3
[2015.04.07-12.11.39:015][  0]LightingResults: New page: Lighting Build
[2015.04.07-12.11.39:030][  0]MapCheck: New page: Map Check
[2015.04.07-12.11.39:030][  0]LightingResults: New page: Lighting Build
[2015.04.07-12.11.39:038][  0]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x00000077BA126980
[2015.04.07-12.11.39:039][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/Maps/MiniTDmatch_2.umap' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.39:254][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Blueprints/ThirdPersonCharacter.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.39:507][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Blueprints/AbilityController.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:243][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Blueprints/DamageTypes/ArcaneDamage.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:245][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Blueprints/Projectiles/AOEHealBall.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:259][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_100.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:451][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/Character/Materials/Red/Brawler_Red.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:455][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Materials/MegaOrbMatterial.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:468][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Blueprints/Projectiles/HealerOrb.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:486][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Blueprints/Projectiles/MageOrb.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:491][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Materials/MageOrbMaterial.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:513][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Blueprints/Projectiles/SlowBall.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:517][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Materials/SlowBallMaterial.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:525][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Blueprints/ThirdPersonGameMode.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:529][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/Blueprints/GameHUD.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.40:580][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Blueprints/Scores.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:235][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/Character/Materials/Blue/Brawler_Blue.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:252][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Materials/PlayerMat_Inst.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:253][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Materials/PlayerMaterial.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:255][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_10.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:256][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_15.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:256][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_20.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:257][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_25.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:258][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_30.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:259][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_35.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:260][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_40.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:261][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_45.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:261][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_5.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:262][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_50.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:263][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_55.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:264][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_60.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:265][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_65.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:265][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_70.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:266][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_75.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:267][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_80.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:268][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_85.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:269][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_90.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.41:269][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Health/Health_95.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:464][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/Textures/ConcreteDirty0323_1_OCC.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:482][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/Textures/FloorsHexagonal0028_1_N.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:511][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/StarterContent/Materials/M_Skybox_A_Inst.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:638][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Blueprints/PlayerInterface.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:650][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/charge.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:651][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/fire_button.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:651][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/invisbility.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:652][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/lightning.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:652][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/Orb.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:653][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/plus_crosshair.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:654][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/psychic_button.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:654][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/UI_health_mana.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.43:655][  0]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/ThirdPersonBP/Textures/UI_health_mana_depleted.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.11.44:429][  0]LogBlueprint:Warning: [compiler] Warning Node  Unknown  is not referencing a valid level actor
[2015.04.07-12.11.44:434][  0]LogBlueprint:Warning: [compiler] Warning [0017.48] Compile of MiniTDmatch_2 successful, but with 1 Warning(s) [in 64 ms]
[2015.04.07-12.11.44:434][  0]LogBlueprint:Warning: [compiler] Warning [0017.48] Compile of MiniTDmatch_2 successful, but with 2 Warning(s) [in 0 ms]
[2015.04.07-12.11.44:434][  0]LogBlueprint:Warning: [compiler] Warning [0017.48] Compile of MiniTDmatch_2 successful, but with 3 Warning(s) [in 0 ms]
[2015.04.07-12.11.44:434][  0]LogBlueprint:Warning: [compiler] Warning [0017.48] Compile of MiniTDmatch_2 successful, but with 4 Warning(s) [in 0 ms]
[2015.04.07-12.11.44:517][  0]LogBlueprint:Warning: [compiler] Warning Node  Unknown  is not referencing a valid level actor
[2015.04.07-12.11.44:523][  0]LogBlueprint:Warning: [compiler] Warning [0017.57] Compile of MiniTDmatch_2 successful, but with 1 Warning(s) [in 66 ms]
[2015.04.07-12.11.44:523][  0]LogBlueprint:Warning: [compiler] Warning [0017.57] Compile of MiniTDmatch_2 successful, but with 2 Warning(s) [in 0 ms]
[2015.04.07-12.11.45:296][  0]LogPhysics:Warning: PHYSX: ..\..\PhysXExtensions\src\ExtRigidBodyExt.cpp (234) 4 : computeMassAndInertia: Dynamic actor with illegal collision shapes
[2015.04.07-12.11.45:296][  0]LogPhysics:Warning: PHYSX: ..\..\PhysXExtensions\src\ExtRigidBodyExt.cpp (283) 4 : PxRigidBodyExt::updateMassAndInertia: Mass and inertia computation failed, setting mass to 1 and inertia to (1,1,1)
[2015.04.07-12.11.45:338][  0]LogPhysics:Warning: PHYSX: ..\..\PhysXExtensions\src\ExtRigidBodyExt.cpp (234) 4 : computeMassAndInertia: Dynamic actor with illegal collision shapes
[2015.04.07-12.11.45:338][  0]LogPhysics:Warning: PHYSX: ..\..\PhysXExtensions\src\ExtRigidBodyExt.cpp (283) 4 : PxRigidBodyExt::updateMassAndInertia: Mass and inertia computation failed, setting mass to 1 and inertia to (1,1,1)
[2015.04.07-12.11.45:376][  0]LogEditorServer: Finished looking for orphan Actors (0.000 secs)
[2015.04.07-12.11.45:377][  0]LogAIModule: Creating AISystem for world MiniTDmatch_2
[2015.04.07-12.11.45:377][  0]Cmd: MAP CHECKDEP
[2015.04.07-12.11.45:377][  0]MapCheck: New page: MiniTDmatch_2 - Apr 8, 2015, 12:11:45 PM
[2015.04.07-12.11.45:514][  0]MapCheck: Info Map check complete: 0 Error(s), 0 Warning(s), took 136.778ms to complete.
[2015.04.07-12.11.45:514][  0]LogFileHelpers: Loading map 'MiniTDmatch_2' took 6.499
[2015.04.07-12.11.45:654][  0]LogCollectionManager: Loaded 0 collections in 0.001608 seconds
[2015.04.07-12.11.45:664][  0]LogContentBrowser: Native class hierarchy populated in 0.0092 seconds. Added 1696 classes and 261 folders.
[2015.04.07-12.11.45:699][  0]LogContentBrowser: Native class hierarchy updated for 'SceneOutliner' in 0.0019 seconds. Added 1 classes and 2 folders.
[2015.04.07-12.11.45:729][  0]LogCrashTracker: Crashtracker disabled due to settings.
[2015.04.07-12.11.45:730][  0]LogSlate:Warning: Failed to load font data from 'Veranda'
[2015.04.07-12.11.45:734][  0]LogUObjectGlobals:Warning: Failed to find object 'Class None.'
[2015.04.07-12.11.45:759][  0]LogLoad: Full Startup: 18.80 seconds (BP compile: 2.41 seconds)
[2015.04.07-12.11.46:187][  0]LogContentBrowser:Verbose: The content browser source was changed by the sources view to '/Game/ThirdPersonBP'
[2015.04.07-12.11.46:349][  0]LogRenderer:Warning: Reallocating scene render targets to support 1008x464 (Frame:2).
[2015.04.07-12.11.48:408][  6]LogAssetRegistry: Asset discovery search completed in 11.0265 seconds
[2015.04.07-12.16.20:047][840]LogSlate:Warning: Prevented a slow task dialog from being summoned while a context menu was open
[2015.04.07-12.16.25:999][168]LogContentBrowser:Verbose: The content browser source was changed by the sources view to '/Game/Maps'
[2015.04.07-12.16.28:527][314]LogLinker:Warning: Asset '../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/Maps/MainMenu.umap' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.07-12.16.28:943][314]LogActorComponent: UnregisterComponent: (/Engine/Transient.ProjectileMovementComponent_0) Not registered. Aborting.
[2015.04.07-12.16.28:943][314]LogActorComponent: UnregisterComponent: (/Engine/Transient.ProjectileMovementComponent_1) Not registered. Aborting.
[2015.04.07-12.16.28:943][314]LogActorComponent: UnregisterComponent: (/Engine/Transient.ProjectileMovementComponent_2) Not registered. Aborting.
[2015.04.07-12.16.28:943][314]LogActorComponent: UnregisterComponent: (/Engine/Transient.CharMoveComp) Not registered. Aborting.
[2015.04.07-12.16.28:943][314]LogActorComponent: UnregisterComponent: (/Engine/Transient.AbilityController_0) Not registered. Aborting.
[2015.04.07-12.16.29:020][314]Cmd: MAP LOAD FILE="../../../../../../Users/Mike/Desktop/prototype 3/Mayhem3d/Content/Maps/MainMenu.umap" TEMPLATE=0 SHOWPROGRESS=1 FEATURELEVEL=3
[2015.04.07-12.16.29:020][314]LightingResults: New page: Lighting Build
[2015.04.07-12.16.29:041][314]LoadErrors: New page: Loading map: MainMenu.umap
[2015.04.07-12.16.29:043][314]MapCheck: New page: Map Check
[2015.04.07-12.16.29:043][314]LightingResults: New page: Lighting Build
[2015.04.07-12.16.29:055][314]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x00000077D38C22A0
[2015.04.07-12.16.29:063][314]LogEditorServer: Finished looking for orphan Actors (0.000 secs)
[2015.04.07-12.16.29:063][314]LogAIModule: Creating AISystem for world MainMenu
[2015.04.07-12.16.29:087][314]Cmd: MAP CHECKDEP
[2015.04.07-12.16.29:087][314]MapCheck: New page: MainMenu - Apr 8, 2015, 12:16:29 PM
[2015.04.07-12.16.29:195][314]MapCheck: Info Map check complete: 0 Error(s), 0 Warning(s), took 108.418ms to complete.
[2015.04.07-12.16.29:196][314]LogFileHelpers: Loading map 'MainMenu' took 0.178
